service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Fr2,0,0,0,0,1,0,0,20110320,20110709
Fr,0,0,0,0,1,0,0,20110710,20111112
Sa2,0,0,0,0,0,1,0,20110320,20110709
Sa,0,0,0,0,0,1,0,20110710,20111112
Su2,0,0,0,0,0,0,1,20110320,20110709
Su,0,0,0,0,0,0,1,20110710,20111112
We2,1,1,1,1,1,0,0,20110320,20110709
We,1,1,1,1,1,0,0,20110710,20111112
