stop_id,stop_code,stop_name,stop_lat,stop_lon
554,554,Florida Av @ Columbus Dr,27.96713,-82.45934
556,556,Florida Av @ Floribraska Av,27.970716,-82.45933
557,557,Florida Av @ Plymouth St,27.973053,-82.459321
558,558,Florida Av @ 26th Av,27.974439,-82.459311
559,559,Florida Av @ Lake Av,27.977726,-82.459302
562,562,Florida Av @ M L King Jr Blvd,27.981169,-82.459368
563,563,Florida Av @ Ida St,27.982565,-82.459369
564,564,Florida Av @ Chelsea St,27.984983,-82.459374
566,566,Florida Av @ Osborne Av,27.988591,-82.459376
569,569,Florida Av @ Wilder Av,27.992324,-82.459375
570,570,Florida Av @ Frierson Av,27.994185,-82.459373
571,571,Florida Av @ Hillsborough Av,27.995839,-82.459316
572,572,Florida Av @ Comanche Av,27.99775,-82.459317
573,573,Florida Av @ Henry Av,27.999525,-82.459317
574,574,Florida Av @ Idlewild Av,28.001527,-82.459328
575,575,Florida Av @ Hanna Av,28.003265,-82.459338
576,576,Florida Av @ Fern St,28.004895,-82.459349
577,577,Florida Av @ Lambright St,28.006281,-82.459369
579,579,Florida Av @ Hiawatha St,28.009496,-82.45939
580,580,Florida Av @ Sligh Av,28.011063,-82.459411
581,581,Florida Av @ Flora St,28.01233,-82.459411
582,582,Florida Av @ Hamilton Av,28.014223,-82.459392
583,583,Florida Av @ Broad St,28.016016,-82.459402
585,585,Florida Av @ Kirby St,28.017619,-82.459402
587,587,Florida Av @ Bird St,28.0226,-82.459394
588,588,Florida Av @ Waters Av,28.024125,-82.459445
590,590,Florida Av @ Seward St,28.027933,-82.459314
592,592,Florida Av @ Floriland Av,28.037297,-82.459265
593,593,Florida Av @ Linebaugh Av,28.040665,-82.459266
595,595,Florida Av @ Bougainvillea Av,28.042947,-82.459277
596,596,Florida Av @ 109th Av,28.047124,-82.459335
597,597,Florida Av @ Fowler Av,28.05515,-82.459302
598,598,Florida Av @ Fowler Av,28.055006,-82.459511
599,599,Florida Av @ 122nd Av,28.058134,-82.459293
600,600,Florida Av @ 124th Av,28.059992,-82.459287
601,601,Florida Av @ 127th Av,28.062348,-82.459277
602,602,Florida Av @ 130th Av,28.06427,-82.459272
605,605,Florida Av @ Fletcher Av,28.069922,-82.459273
606,606,Florida Av @ 138th Av,28.072032,-82.459305
608,608,Florida Av @ 143Rd Av,28.07667,-82.459356
610,610,Florida Av @ 145th Av,28.0785,-82.459422
611,611,Florida Av @ Garland Ct,28.080365,-82.45945
612,612,Florida Av @ April  Lane,28.082121,-82.459483
616,616,Florida Av @ Siobhan Av,28.083888,-82.459668
624,624,Florida Av @ Fletcher Av,28.070601,-82.459446
625,625,Florida Av @ Prince St,28.066988,-82.459435
626,626,Florida Av @ 131St Av,28.065111,-82.459424
629,629,Florida Av @ 122nd Av,28.05773,-82.459449
632,632,Florida Av @ 109th Av,28.047393,-82.459491
633,633,Florida Av  @ Bougainvillea Av,28.043663,-82.4595
634,634,Florida Av @ Linebaugh Av,28.040013,-82.4596
639,639,Florida Av @ Wood St,28.027073,-82.459668
640,640,Florida Av @ Bird St,28.022509,-82.459576
642,642,Florida Av @ Hollywood St,28.019675,-82.459575
643,643,Florida Av @ Kirby St,28.017719,-82.459585
644,644,Florida Av @ Broad St,28.016315,-82.459585
645,645,Florida Av @ Flora St,28.012616,-82.459549
646,646,Florida Av @ Hamilton Av,28.014407,-82.459552
647,647,Florida Av @ Sligh Av,28.010972,-82.459593
648,648,Florida Av @ Hiawatha St,28.009566,-82.459566
649,649,Florida Av @ Knollwood St,28.008105,-82.459531
650,650,Florida Av @ North St,28.00609,-82.4596
651,651,Florida Av @ Fern St,28.005118,-82.459526
652,652,Florida Av @ Hanna Av,28.003503,-82.459506
653,653,Florida Av @ Idlewild Av,28.00185,-82.459487
654,654,Florida Av @ Henry Av,27.999515,-82.459479
656,656,Florida Av @ Hillsborough Av,27.995439,-82.459505
657,657,Florida Av @ Wilder Av,27.992588,-82.459488
661,661,22nd St @ 17th Av,27.96772,-82.434662
662,662,22nd St @ 19th Av,27.968716,-82.434642
663,663,22nd St @ 21St Av,27.970229,-82.434672
664,664,22nd St @ 23Rd Av,27.972249,-82.434662
665,665,22nd St @ 26th Av,27.974459,-82.434672
667,667,22nd St @ Lake Av,27.97733,-82.434682
668,668,22nd St @ M L King Jr Blvd,27.981308,-82.434744
670,670,22nd St @ North Bay St,27.983189,-82.434641
671,671,22nd St @ Chelsea St,27.984892,-82.434661
672,672,22nd St @ Cayuga St,27.986431,-82.434651
674,674,22nd St @ Mc Berry St,27.993595,-82.434671
675,675,22nd St @ Hillsborough Av,27.996593,-82.43463
677,677,22nd St @ Henry Av,27.999418,-82.43462
679,679,22nd St @ Idlewild Av,28.001628,-82.43466
680,680,22nd St @ Hanna Av,28.003231,-82.43464
681,681,22nd St @ Fern St,28.00468,-82.434619
682,682,22nd St @ Diana St,28.00689,-82.434629
683,683,22nd St @ Sligh Av,28.010376,-82.434599
685,685,22nd St @ Busch Blvd,28.033278,-82.434547
687,687,22nd St @ Okara Rd,28.036891,-82.434547
688,688,22nd St @ Linebaugh Av,28.03968,-82.434557
689,689,22nd St @ Poinsettia Av,28.041591,-82.434547
690,690,22nd St @ Bougainvillea Av,28.043411,-82.434536
691,691,22nd St @ 109th Av,28.047024,-82.434526
692,692,22nd St @ 111th Av,28.049016,-82.434526
693,693,22nd St @ 113th Av,28.050682,-82.434526
695,695,22nd St @ Fowler Av,28.053675,-82.434559
698,698,22nd St @ 131St Av,28.065299,-82.434529
701,701,22nd St @ 132nd Av,28.067261,-82.434484
702,702,22nd St @ 133Rd Av,28.068131,-82.434484
703,703,22nd St @ Fletcher Av,28.068897,-82.434525
705,705,22nd St @ Aimee Ct,28.078308,-82.434707
708,708,22nd St @ Rae Ct,28.079114,-82.434565
715,715,22nd St @ Fletcher Av,28.069661,-82.434677
717,717,22nd St @ 131St Av,28.065156,-82.434615
720,720,22nd St @ 115th Av,28.051947,-82.434624
722,722,22nd St @ 111th Av,28.049577,-82.434708
723,723,22nd St @ 109th Av,28.047312,-82.434633
724,724,22nd St @ Marvy Av,28.04578,-82.43464
725,725,22nd St @ Bougainvillea Av,28.043693,-82.434643
727,727,22nd St @ Diana St,28.007188,-82.434802
730,730,22nd St @ Idlewild Av,28.001583,-82.434843
731,731,22nd St @ Henry Av,27.99981,-82.434753
732,732,22nd St @ Hillsborough Av,27.996819,-82.434786
733,733,22nd St @ Giddens Av,27.995398,-82.434779
734,734,22nd St @ Shadowlawn Av,27.993441,-82.434853
737,737,22nd St @ Osborne Av,27.988968,-82.434775
738,738,22nd St @ Chelsea St,27.985279,-82.434773
741,741,22nd St @ M L King Jr Blvd,27.982085,-82.434818
743,743,22nd St @ 31St Av,27.978556,-82.434807
744,744,22nd St @ Lake Av,27.977283,-82.43481
753,753,22nd St @ Chapin St,27.943709,-82.434795
754,754,22nd St @ Flagler St,27.941635,-82.434795
755,755,22nd St @ Oakwood Av,27.939642,-82.434775
760,760,15th St @ 11th Av,27.963038,-82.442864
763,763,15th St @ 15th Av,27.965873,-82.442874
764,764,15th St @ Columbus Dr,27.966715,-82.442874
765,765,15th St @ 17th Av,27.967327,-82.442925
766,766,15th St @ 19th Av,27.968626,-82.442928
767,767,15th St @ 21St Av,27.970374,-82.442933
768,768,15th St @ 24th Av,27.972222,-82.442949
769,769,15th St @ 26th Av,27.974069,-82.442854
770,770,15th St @ 28th Av,27.975899,-82.442824
771,771,15th St @ Rodney St,27.977402,-82.442814
772,772,15th St @ 32nd Av,27.979485,-82.44289
774,774,15th St @ North Bay St,27.983198,-82.442845
775,775,15th St @ Chelsea St,27.985019,-82.442855
776,776,15th St @ Cayuga St,27.986875,-82.442855
777,777,15th St @ Osborne Av,27.988623,-82.442845
778,778,15th St @ New Orleans Av,27.990117,-82.442835
779,779,15th St @ Ellicott St,27.991186,-82.442855
780,780,15th St @ Wilder Av,27.992409,-82.442865
781,781,15th St @ Frierson Av,27.994129,-82.442855
782,782,15th St @ Hillsborough Av,27.995588,-82.442845
783,783,15th St @ Comanche Av,27.997797,-82.442845
784,784,15th St @ Henry Av,27.99959,-82.442856
785,785,15th St @ Idlewild Av,28.001492,-82.442856
786,786,15th St @ Hanna Av,28.003168,-82.442846
787,787,15th St @ North St,28.005033,-82.442846
788,788,15th St @ Diana St,28.007252,-82.442866
789,789,15th St @ Escort Av,28.009625,-82.442866
790,790,15th St @ Sligh Av,28.010403,-82.442876
791,791,15th St @ Poinsettia Av,28.041627,-82.442797
792,792,15th St @ Bougainvillea Av,28.043429,-82.442797
793,793,15th St @ Charm Ln,28.045638,-82.442787
794,794,15th St @ 109th Av,28.04706,-82.442787
797,797,15th St @ Fowler Av,28.053987,-82.442767
799,799,15th St @ 122nd Av,28.057863,-82.442757
801,801,15th St @ 127th Av,28.061756,-82.442747
802,802,15th St @ 130th Av,28.0645,-82.442737
807,807,15th St @ 127th Av,28.062077,-82.442864
808,808,15th St @ 124th Av,28.060313,-82.44287
809,809,15th St @ 122nd Av,28.058403,-82.442881
810,810,15th St @ Fowler Av S,28.053306,-82.442921
811,811,15th St @ Fowler Av N,28.054805,-82.442925
813,813,15th St @ 113th Av,28.051046,-82.442909
815,815,15th St @ Poinsettia Av,28.041864,-82.44292
816,816,15th St @ Seneca Av,28.045873,-82.442916
817,817,15th St @ Bougainvillea Av,28.043723,-82.442919
818,818,15th St @ 109th Av,28.047349,-82.442913
819,819,15th St @ Linebaugh Av,28.040047,-82.442929
821,821,15th St @ Diana St,28.007116,-82.443048
822,822,15th St @ North St,28.00526,-82.443038
