fare_id,route_id
2,87
2,88
2,89
3,1
3,10
3,12
3,14
3,15
3,16
3,18
3,19
3,2
3,30
3,31
3,32
3,33
3,34
3,36
3,37
3,39
3,4
3,41
3,45
3,46
3,5
3,57
3,6
3,7
3,8
3,9
5,20
5,200
5,22
5,23
5,24
5,25
5,27
5,28
5,35
5,47
5,50
5,51
5,53
5,59
5,61
6,96
6,97
7,572
7,573
7,574
