Count,GTFS_Stop_ID,Route,Gtfs_Lat,Gtfs_Lon,Osm_Lat,Osm_Lon,Location_Displacement,Tags_not_in_GTFS,Version_History
11,0936,2,28.069152,-82.436751,28.0690803,-82.4367754,8.299944129719917,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ 20th St|gtfs_stop_code=936|highway=bus_stop|ntd_id=4041|route_ref=2|source=survey|gtfs_id=0936|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5294446)|version 3 = ktran9(changeset = 5557830)
12,0935,2,28.069147,-82.43886,28.0690732,-82.4387924,10.537790720777627,source=survey|bench=yes|name=Fletcher Av @ 19th St|gtfs_stop_code=935|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0935|shade=trees|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5294446)|version 3 = ktran9(changeset = 5557830)
13,0931,2,28.069154,-82.4431,28.069095,-82.4430421,8.668574153069894,source=survey|bench=yes|name=Fletcher Av @ 15th St|gtfs_stop_code=931|operator=Hillsborough Area Regional Transit|route_ref=2|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=0931|shade=no|,version 1 = EdHillsman(changeset = 5252803)|version 2 = EdHillsman(changeset = 5252803)|version 3 = EdHillsman(changeset = 5305458)|version 4 = ktran9(changeset = 5557830)
14,5132,33,28.06922,-82.47829,28.0691584,-82.4784255,14.967000216057055,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ Greentree Dr|gtfs_stop_code=5132|highway=bus_stop|ntd_id=4041|route_ref=33|source=GO_Sync|gtfs_id=5132|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6838230)
15,5771,39,28.038696,-82.582617,28.03904,-82.582607,38.13478508118409,operator=Hillsborough Area Regional Transit|name=Sheldon @ N Hills Co Health Ctr|gtfs_stop_code=5771|highway=bus_stop|ntd_id=4041|route_ref=39|source=GO_Sync|gtfs_id=5771|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
16,3598,45,28.054693,-82.449589,28.0547188,-82.4494541,13.567005963729015,source=GO_Sync|bench=yes|name=Fowler Av @ 9th St|gtfs_stop_code=3598|operator=Hillsborough Area Regional Transit|route_ref=45|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=3598|shade=roof|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6152399)|version 4 = EdHillsman(changeset = 6792930)
17,4682,45,28.054343,-82.442292,28.0543059,-82.4422985,4.160798723158054,operator=Hillsborough Area Regional Transit|name=Fowler Av @ 15th St|gtfs_stop_code=4682|highway=bus_stop|ntd_id=4041|route_ref=45|source=GO_Sync|gtfs_id=4682|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6152399)
18,4681,45,28.054313,-82.444906,28.0543116,-82.4441568,73.65589184157191,source=GO_Sync|bench=yes|name=Fowler Av @ 14th St|gtfs_stop_code=4681|operator=Hillsborough Area Regional Transit|route_ref=45|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=4681|shade=roof|wastebasket=yes|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6793800)|version 4 = EdHillsman(changeset = 6793800)
19,5769,39,28.033715,-82.58274,28.033824,-82.58274,12.079379502990978,operator=Hillsborough Area Regional Transit|gtfs_stop_code=5769|name=Sheldon Rd @ Sheldon Chase Dr|highway=bus_stop|ntd_id=4041|route_ref=39|source=GO_Sync|gtfs_id=5769|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
20,5765,16;30;34;88,28.026107,-82.583943,28.0260914,-82.5840023,6.0823149848949996,source=GO_Sync|bench=yes|name=Waters Av @ Sheldon Rd|gtfs_stop_code=5765|operator=Hillsborough Area Regional Transit|route_ref=16;30;34;88|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=5765|shade=no|wastebasket=no|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)|version 3 = EdHillsman(changeset = 6641815)
21,4670,41;45,28.010652,-82.472592,N/A,N/A,N/A,N/A,N/A
22,5757,36,28.047112,-82.504676,28.046585,-82.504705,58.47180817712987,operator=Hillsborough Area Regional Transit|name=Dale Mabry Hwy @ 10444|gtfs_stop_code=5757|highway=bus_stop|ntd_id=4041|route_ref=36|source=GO_Sync|gtfs_id=5757|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
23,5755,36,28.050735,-82.504405,28.050463,-82.504397,30.15337222546747,operator=Hillsborough Area Regional Transit|name=Dale Mabry Hwy @ 11210|gtfs_stop_code=5755|highway=bus_stop|ntd_id=4041|route_ref=36|source=GO_Sync|gtfs_id=5755|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
24,6833,24;25,27.860548,-82.49005,27.860915,-82.49153,151.32973389126903,operator=Hillsborough Area Regional Transit|gtfs_stop_code=6833|name=Zemke Av @ Centcom Av|highway=bus_stop|ntd_id=4041|route_ref=24;25|source=GO_Sync|gtfs_id=6833|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
25,6832,24;25,27.860539,-82.49097,27.860873,-82.491749,85.1836486847421,operator=Hillsborough Area Regional Transit|gtfs_stop_code=6832|name=Zemke Av @ Centcom Av|highway=bus_stop|ntd_id=4041|route_ref=24;25|source=GO_Sync|gtfs_id=6832|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
26,5747,39,28.038541,-82.583042,28.039039,-82.583033,55.19549257830261,operator=Hillsborough Area Regional Transit|name=Sheldon @ N Hills Co Health Ctr|gtfs_stop_code=5747|highway=bus_stop|ntd_id=4041|route_ref=39|source=GO_Sync|gtfs_id=5747|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
27,4657,6;18,28.069269,-82.423516,28.0692777,-82.4234892,2.8052952670190487,source=survey|bench=yes|name=Fletcher Av @ 31St St (Uch)|gtfs_stop_code=4657|operator=Hillsborough Area Regional Transit|route_ref=6;18|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=4657|shade=roof|,version 1 = EdHillsman(changeset = 4770999)|version 2 = ktran9(changeset = 5282592)|version 3 = ktran9(changeset = 5282878)|version 4 = EdHillsman(changeset = 5328579)|version 5 = ktran9(changeset = 5557830)
28,4656,6,28.069252,-82.42025,28.0692585,-82.4200706,17.649529822977797,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ Magnolia Dr N/S|gtfs_stop_code=4656|highway=bus_stop|ntd_id=4041|route_ref=6|source=GO_Sync|gtfs_id=4656|,version 1 = ktran9(changeset = 5282878)|version 2 = EdHillsman(changeset = 5295548)|version 3 = EdHillsman(changeset = 5328579)|version 4 = ktran9(changeset = 5557830)
29,1370,30,27.948421,-82.524362,N/A,N/A,N/A,N/A,N/A
30,1360,30,27.948711,-82.524018,N/A,N/A,N/A,N/A,N/A
31,4625,6,28.050537,-82.393849,28.0503142,-82.3938576,24.705227733942998,source=GO_Sync|bench=no|name=56th St @ Temple Terrace City Hall|gtfs_stop_code=4625|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4625|shade=yes|,version 1 = ktran9(changeset = 5282878)|version 2 = EdHillsman(changeset = 5295548)|version 3 = caribarchgirl84(changeset = 5376790)|version 4 = ktran9(changeset = 5557830)|version 5 = EdHillsman(changeset = 6815628)
32,4622,6,28.054243,-82.400618,28.0542503,-82.4011161,48.97617017369035,source=survey|bench=yes|name=Fowler Av @ 51St St|gtfs_stop_code=4622|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4622|timetable=yes|shade=no|,version 1 = EdHillsman(changeset = 5165537)|version 2 = ktran9(changeset = 5231988)|version 3 = ktran9(changeset = 5232165)|version 4 = ktran9(changeset = 5236946)|version 5 = ktran9(changeset = 5238742)|version 6 = ktran9(changeset = 5257065)|version 7 = ktran9(changeset = 5257249)|version 8 = ktran9(changeset = 5257427)|version 9 = ktran9(changeset = 5257440)|version 10 = ktran9(changeset = 5282592)|version 11 = ktran9(changeset = 5282878)|version 12 = EdHillsman(changeset = 5289177)|version 13 = EdHillsman(changeset = 5295548)|version 14 = EdHillsman(changeset = 5295548)|version 15 = EdHillsman(changeset = 5295548)|version 16 = EdHillsman(changeset = 5313581)|version 17 = caribarchgirl84(changeset = 5376876)|version 18 = EdHillsman(changeset = 5380292)|version 19 = ktran9(changeset = 5557830)|version 20 = EdHillsman(changeset = 5621156)|version 21 = EdHillsman(changeset = 8730640)
33,4621,6,28.05603,-82.40185,28.0572161,-82.4019285,131.67039099845044,source=survey|bench=yes|name=50th St @ Terrace Palms Apts|gtfs_stop_code=4621|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4621|shade=no|,version 1 = EdHillsman(changeset = 4724325)|version 2 = ktran9(changeset = 5231988)|version 3 = ktran9(changeset = 5232165)|version 4 = EdHillsman(changeset = 5236344)|version 5 = ktran9(changeset = 5236946)|version 6 = ktran9(changeset = 5238742)|version 7 = ktran9(changeset = 5257427)|version 8 = ktran9(changeset = 5257440)|version 9 = ktran9(changeset = 5282592)|version 10 = ktran9(changeset = 5282878)|version 11 = ktran9(changeset = 5557830)|version 12 = EdHillsman(changeset = 8730640)
34,4620,6,28.057297,-82.401878,28.0583594,-82.4019473,117.93252529253681,source=survey|bench=yes|name=50th St @ 122nd Av|gtfs_stop_code=4620|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4620|shade=no|,version 1 = EdHillsman(changeset = 4724325)|version 2 = EdHillsman(changeset = 4743990)|version 3 = ktran9(changeset = 5231988)|version 4 = ktran9(changeset = 5232165)|version 5 = EdHillsman(changeset = 5234147)|version 6 = ktran9(changeset = 5236946)|version 7 = ktran9(changeset = 5238742)|version 8 = ktran9(changeset = 5257065)|version 9 = ktran9(changeset = 5257249)|version 10 = ktran9(changeset = 5257427)|version 11 = ktran9(changeset = 5257440)|version 12 = ktran9(changeset = 5282592)|version 13 = ktran9(changeset = 5282878)|version 14 = caribarchgirl84(changeset = 5376790)|version 15 = ktran9(changeset = 5557830)|version 16 = EdHillsman(changeset = 8730640)
35,4619,6,28.058807,-82.401878,28.059304,-82.4019447,55.46669098282793,bench=yes|name=50th St @ Elm Dr|gtfs_stop_code=4619|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4619|shade=no|,version 1 = EdHillsman(changeset = 4743990)|version 2 = ktran9(changeset = 5231988)|version 3 = ktran9(changeset = 5232165)|version 4 = EdHillsman(changeset = 5234147)|version 5 = ktran9(changeset = 5236946)|version 6 = ktran9(changeset = 5238742)|version 7 = ktran9(changeset = 5257065)|version 8 = ktran9(changeset = 5257249)|version 9 = ktran9(changeset = 5257427)|version 10 = ktran9(changeset = 5257440)|version 11 = ktran9(changeset = 5282592)|version 12 = ktran9(changeset = 5282878)|version 13 = caribarchgirl84(changeset = 5376790)|version 14 = caribarchgirl84(changeset = 5403286)|version 15 = ktran9(changeset = 5547741)|version 16 = ktran9(changeset = 5557830)
36,5703,31,27.857223,-82.327892,N/A,N/A,N/A,N/A,N/A
37,4618,6,28.062187,-82.40189,28.0624574,-82.4019984,31.804224130605068,source=survey|bench=yes|name=50th St @ 127th Av|gtfs_stop_code=4618|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4618|shade=no|,version 1 = EdHillsman(changeset = 4724325)|version 2 = EdHillsman(changeset = 4743990)|version 3 = EdHillsman(changeset = 5234147)|version 4 = EdHillsman(changeset = 5234355)|version 5 = EdHillsman(changeset = 5278631)|version 6 = ktran9(changeset = 5282592)|version 7 = ktran9(changeset = 5282878)|version 8 = ktran9(changeset = 5557830)|version 9 = EdHillsman(changeset = 8730640)
38,5702,31;53;31,27.865194,-82.326769,27.865937,-82.326697,82.64200804495273,operator=Hillsborough Area Regional Transit|name=Us Hwy 301 @ Balm Riverview Rd|gtfs_stop_code=5702|highway=bus_stop|ntd_id=4041|source=GO_Sync|route_ref=31|gtfs_id=5702|,version 1 = ktran9(changeset = 5282878)|version 2 = ktran9(changeset = 5557830)
39,4617,6,28.06347,-82.401973,28.0636523,-82.4019893,20.266018271978393,bench=yes|name=50th St @ 12850|gtfs_stop_code=4617|operator=Hillsborough Area Regional Transit|route_ref=6|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4617|shade=no|,version 1 = EdHillsman(changeset = 4743990)|version 2 = EdHillsman(changeset = 5198212)|version 3 = EdHillsman(changeset = 5278631)|version 4 = ktran9(changeset = 5282592)|version 5 = ktran9(changeset = 5282878)|version 6 = ktran9(changeset = 5557830)|version 7 = EdHillsman(changeset = 6735619)|version 8 = EdHillsman(changeset = 8730640)
40,4616,6,28.066277,-82.402083,28.0662779,-82.402486,39.61567769644529,operator=Hillsborough Area Regional Transit|name=Holly Dr @ 50th St|gtfs_stop_code=4616|highway=bus_stop|ntd_id=4041|route_ref=6|gtfs_id=4616|,version 1 = EdHillsman(changeset = 3959814)|version 2 = EdHillsman(changeset = 5278631)|version 3 = ktran9(changeset = 5282592)|version 4 = ktran9(changeset = 5282878)|version 5 = EdHillsman(changeset = 5324135)|version 6 = ktran9(changeset = 5557830)
41,4614,6,28.065679,-82.409619,28.0656169,-82.409479,15.387084633156276,source=survey|bench=no|name=Holly Dr @ Alpha Apts|gtfs_stop_code=4614|operator=Hillsborough Area Regional Transit;USF Bull Runner|route_ref=6;C;E|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4614|note=sign bears gtfs tag of 4613; did not match import; confirmed with HART that this is actually 4614; they will retag at some point|shade=trees|wastebasket=yes|,version 1 = EdHillsman(changeset = 3977069)|version 2 = EdHillsman(changeset = 3977215)|version 3 = EdHillsman(changeset = 5126351)|version 4 = EdHillsman(changeset = 5126351)|version 5 = EdHillsman(changeset = 5297174)|version 6 = EdHillsman(changeset = 5353963)|version 7 = ktran9(changeset = 5547673)|version 8 = ktran9(changeset = 5558153)|version 9 = EdHillsman(changeset = 6852503)
42,4613,6,28.06567,-82.411312,28.065608,-82.4112482,9.302841000220528,source=survey|bench=no|name=Bull Runner Bus Stop|gtfs_stop_code=4613|operator=Hillsborough Area Regional Transit;USF Bull Runner|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4613|note=metal tag with GTFS ID is missing; confirmed with HART that this is 4613 and the one east of here is really 4614 but is mistagged; HART will retag at some point|shade=no|route=6;C:E|,version 1 = ShannonLadd(changeset = 2009469)|version 2 = EdHillsman(changeset = 5126351)|version 3 = EdHillsman(changeset = 5353963)|version 4 = ktran9(changeset = 5547673)|version 5 = ktran9(changeset = 5558153)|version 6 = EdHillsman(changeset = 6341090)|version 7 = EdHillsman(changeset = 6735619)|version 8 = EdHillsman(changeset = 6852503)|version 9 = EdHillsman(changeset = 8730640)
43,4612,6,28.06715,-82.413326,28.0678963,-82.4133332,82.70839759021348,source=survey|bench=yes|name=N Palm @ Usf Credit Union|gtfs_stop_code=4612|operator=Hillsborough Area Regional Transit;USF Bull Runner|route_ref=6;C|ntd_id=4041|shelter=yes|highway=bus_stop|gtfs_id=4612|shade=roof|,version 1 = EdHillsman(changeset = 3989506)|version 2 = EdHillsman(changeset = 4005524)|version 3 = EdHillsman(changeset = 4049633)|version 4 = EdHillsman(changeset = 5305859)|version 5 = ktran9(changeset = 5547725)|version 6 = ktran9(changeset = 5558153)|version 7 = EdHillsman(changeset = 6735619)
44,4610,6,28.068971,-82.416843,28.0690007,-82.4168684,4.131237605921041,operator=Hillsborough Area Regional Transit|name=Fletcher Av @ John Knox Village|gtfs_stop_code=4610|highway=bus_stop|ntd_id=4041|route_ref=6|source=GO_Sync|gtfs_id=4610|,version 1 = ktran9(changeset = 5282878)|version 2 = EdHillsman(changeset = 5295548)|version 3 = caribarchgirl84(changeset = 5376790)|version 4 = ktran9(changeset = 5557830)
45,4607,6;18,28.068972,-82.423058,28.0690267,-82.4230723,6.2227307474168185,source=survey|bench=yes|name=Fletcher Av @ Fmhi @ 31St St|gtfs_stop_code=4607|operator=Hillsborough Area Regional Transit|route_ref=6;18|ntd_id=4041|shelter=no|highway=bus_stop|gtfs_id=4607|shade=no|,version 1 = EdHillsman(changeset = 4770999)|version 2 = ktran9(changeset = 5282592)|version 3 = ktran9(changeset = 5282878)|version 4 = EdHillsman(changeset = 5295548)|version 5 = EdHillsman(changeset = 5328579)|version 6 = caribarchgirl84(changeset = 5376790)|version 7 = ktran9(changeset = 5557830)|version 8 = EdHillsman(changeset = 8730640)
