stop_id,stop_code,stop_name,stop_lat,stop_lon,OSM_TAGs
0482,482,Nebraska Av @ 113th Av,28.051098,-82.451332,ntd_id=4041|route_ref=2
0483,483,Nebraska Av @ 112th Av,28.049522,-82.451332,ntd_id=4041|route_ref=2
0485,485,Nebraska Av @ 109th Av,28.047431,-82.451331,ntd_id=4041|route_ref=2
0487,487,Nebraska Av @ Bougainvillea Av,28.043777,-82.451285,ntd_id=4041|route_ref=2
0488,488,Nebraska Av @ McEwen Av,28.042396,-82.451361,ntd_id=4041|route_ref=2
0490,490,Nebraska Av @ Castle Ct,28.03795,-82.451381,ntd_id=4041|route_ref=2
0491,491,Nebraska Av @ Annie St,28.036558,-82.451324,ntd_id=4041|route_ref=2
0492,492,Nebraska Av @ Richmere St,28.035325,-82.45133,ntd_id=4041|route_ref=2
0495,495,Nebraska Av @ Yukon St,28.029697,-82.451296,ntd_id=4041|route_ref=2
0496,496,Nebraska Av @ Seward St,28.028072,-82.451299,ntd_id=4041|route_ref=2
0497,497,Nebraska Av @ Fairbanks St,28.026718,-82.451307,ntd_id=4041|route_ref=2
0498,498,Nebraska Av @ Waters Av,28.025417,-82.451346,ntd_id=4041|route_ref=2
0499,499,Nebraska Av @ Juneau St,28.024214,-82.451334,ntd_id=4041|route_ref=2
0500,500,Nebraska Av @ Bird St,28.022807,-82.451389,ntd_id=4041|route_ref=2
0501,501,Nebraska Av @ Sitka St,28.021404,-82.451329,ntd_id=4041|route_ref=2
0503,503,Nebraska Av @ Kirby St,28.018399,-82.451337,ntd_id=4041|route_ref=2
0504,504,Nebraska Av @ Broad St,28.016277,-82.451334,ntd_id=4041|route_ref=2
0505,505,Nebraska Av @ Hamilton Av,28.014465,-82.451339,ntd_id=4041|route_ref=2
0506,506,Nebraska Av @ Flora St,28.012593,-82.451345,ntd_id=4041|route_ref=2
0507,507,Nebraska Av @ Sligh Av,28.010202,-82.451374,ntd_id=4041|route_ref=2
0508,508,Nebraska Av @ Knollwood St,28.008134,-82.451343,ntd_id=4041|route_ref=2
0509,509,Nebraska Av @ Lambright St,28.006678,-82.451347,ntd_id=4041|route_ref=2
0510,510,Nebraska Av @ Jean St,28.004542,-82.451354,ntd_id=4041|route_ref=2
0512,512,Nebraska Av @ Idlewild Av,28.00189,-82.451345,ntd_id=4041|route_ref=2
0513,513,Nebraska Av @ Henry Av,27.999848,-82.451273,ntd_id=4041|route_ref=2
0514,514,Nebraska Av @ Powhattan Av,27.998906,-82.451248,ntd_id=4041|route_ref=2
0516,516,Nebraska Av @ Mohawk Av,27.996931,-82.451223,ntd_id=4041|route_ref=2
0517,517,Nebraska Av @ Hillsborough Av,27.996385,-82.451208,ntd_id=4041|route_ref=2
0518,518,Nebraska Av @ Frierson Av,27.994374,-82.451187,ntd_id=4041|route_ref=2
0521,521,Nebraska Av @ New Orleans Av,27.990457,-82.451185,ntd_id=4041|route_ref=2
0522,522,Nebraska Av @ Osborne Av,27.988561,-82.451202,ntd_id=4041|route_ref=2
0523,523,Nebraska Av @ Cayuga St,27.987051,-82.451204,ntd_id=4041|route_ref=2
0524,524,Nebraska Av @ Chelsea St,27.985481,-82.451206,ntd_id=4041|route_ref=2
0525,525,Nebraska Av @ North Bay St,27.983429,-82.451211,ntd_id=4041|route_ref=2
0528,528,Nebraska Av @ Lake Av,27.977988,-82.451227,ntd_id=4041|route_ref=2
0529,529,Nebraska Av @ Emily St,27.975488,-82.451226,ntd_id=4041|route_ref=2
0532,532,Nebraska Av @ Floribraska Av,27.970992,-82.451246,ntd_id=4041|route_ref=2
0538,538,Nebraska Av @ Palm Av,27.962702,-82.451309,ntd_id=4041|route_ref=2
0541,541,Nebraska Av @ 7th Av,27.960623,-82.451275,ntd_id=4041|route_ref=2
0544,544,Nebraska Av @ India St,27.955701,-82.451296,ntd_id=4041|route_ref=2;12
0546,546,Nebraska Av @ Cass St,27.953618,-82.451312,ntd_id=4041|route_ref=2;12
0548,548,Nebraska Av @ Twiggs St,27.951379,-82.450884,ntd_id=4041|FIXME=This bus stop could be redundant|route_ref=31;46
0551,551,Florida Av @ Palm Av,27.962103,-82.459369,ntd_id=4041|route_ref=1;5;6;18
0553,553,Florida Av @ Frances St,27.964938,-82.459359,ntd_id=4041|route_ref=1;6
0554,554,Florida Av @ Columbus Dr,27.96713,-82.45934,ntd_id=4041|route_ref=1;6
0556,556,Florida Av @ Floribraska Av,27.970716,-82.45933,ntd_id=4041|route_ref=1;6
0557,557,Florida Av @ Plymouth St,27.973053,-82.459321,ntd_id=4041|route_ref=1
0558,558,Florida Av @ 26th Av,27.974439,-82.459311,ntd_id=4041|route_ref=1
0559,559,Florida Av @ Lake Av,27.977726,-82.459302,ntd_id=4041|route_ref=1
0562,562,Florida Av @ M L King Jr Blvd,27.981169,-82.459368,ntd_id=4041|route_ref=1
0563,563,Florida Av @ Ida St,27.982565,-82.459369,ntd_id=4041|route_ref=1
0564,564,Florida Av @ Chelsea St,27.984983,-82.459374,ntd_id=4041|route_ref=1
0566,566,Florida Av @ Osborne Av,27.988591,-82.459376,ntd_id=4041|route_ref=1
0569,569,Florida Av @ Wilder Av,27.992324,-82.459375,ntd_id=4041|route_ref=1
0570,570,Florida Av @ Frierson Av,27.994185,-82.459373,ntd_id=4041|route_ref=1
0571,571,Florida Av @ Hillsborough Av,27.995839,-82.459316,ntd_id=4041|route_ref=1
0572,572,Florida Av @ Comanche Av,27.99775,-82.459317,ntd_id=4041|route_ref=1
0573,573,Florida Av @ Henry Av,27.999525,-82.459317,ntd_id=4041|route_ref=1
0574,574,Florida Av @ Idlewild Av,28.001527,-82.459328,ntd_id=4041|route_ref=1
0575,575,Florida Av @ Hanna Av,28.003265,-82.459338,ntd_id=4041|route_ref=1
0576,576,Florida Av @ Fern St,28.004895,-82.459349,ntd_id=4041|route_ref=1
0577,577,Florida Av @ Lambright St,28.006281,-82.459369,ntd_id=4041|route_ref=1
0579,579,Florida Av @ Hiawatha St,28.009496,-82.45939,ntd_id=4041|route_ref=1
0580,580,Florida Av @ Sligh Av,28.011063,-82.459411,ntd_id=4041|route_ref=1
0581,581,Florida Av @ Flora St,28.01233,-82.459411,ntd_id=4041|route_ref=1
0582,582,Florida Av @ Hamilton Av,28.014223,-82.459392,ntd_id=4041|route_ref=1
0583,583,Florida Av @ Broad St,28.016016,-82.459402,ntd_id=4041|route_ref=1
0585,585,Florida Av @ Kirby St,28.017619,-82.459402,ntd_id=4041|route_ref=1
0587,587,Florida Av @ Bird St,28.0226,-82.459394,ntd_id=4041|route_ref=1
0588,588,Florida Av @ Waters Av,28.024125,-82.459445,ntd_id=4041|route_ref=1
0590,590,Florida Av @ Seward St,28.027933,-82.459314,ntd_id=4041|route_ref=1;9;16
0592,592,Florida Av @ Floriland Av,28.037297,-82.459265,ntd_id=4041|route_ref=1;9;14
0593,593,Florida Av @ Linebaugh Av,28.040665,-82.459266,ntd_id=4041|route_ref=1
0595,595,Florida Av @ Bougainvillea Av,28.042947,-82.459277,ntd_id=4041|route_ref=1
0596,596,Florida Av @ 109th Av,28.047124,-82.459335,ntd_id=4041|route_ref=1
0597,597,Florida Av @ Fowler Av,28.05515,-82.459302,ntd_id=4041|route_ref=1
0598,598,Florida Av @ Fowler Av,28.055006,-82.459511,ntd_id=4041|route_ref=1
0599,599,Florida Av @ 122nd Av,28.058134,-82.459293,ntd_id=4041|route_ref=1
0600,600,Florida Av @ 124th Av,28.059992,-82.459287,ntd_id=4041|route_ref=1
0601,601,Florida Av @ 127th Av,28.062348,-82.459277,ntd_id=4041|route_ref=1
0602,602,Florida Av @ 130th Av,28.06427,-82.459272,ntd_id=4041|route_ref=1
0605,605,Florida Av @ Fletcher Av,28.069922,-82.459273,ntd_id=4041|route_ref=20;33
0606,606,Florida Av @ 138th Av,28.072032,-82.459305,ntd_id=4041|route_ref=33
0608,608,Florida Av @ 143Rd Av,28.07667,-82.459356,ntd_id=4041|route_ref=33
0610,610,Florida Av @ 145th Av,28.0785,-82.459422,ntd_id=4041|route_ref=33
0611,611,Florida Av @ Garland Ct,28.080365,-82.45945,ntd_id=4041|route_ref=33
0612,612,Florida Av @ April  Lane,28.082121,-82.459483,ntd_id=4041|route_ref=33
0616,616,Florida Av @ Siobhan Av,28.083888,-82.459668,ntd_id=4041|route_ref=33
0624,624,Florida Av @ Fletcher Av,28.070601,-82.459446,ntd_id=4041|route_ref=20
0625,625,Florida Av @ Prince St,28.066988,-82.459435,ntd_id=4041|route_ref=1
0626,626,Florida Av @ 131St Av,28.065111,-82.459424,ntd_id=4041|route_ref=1
0629,629,Florida Av @ 122nd Av,28.05773,-82.459449,ntd_id=4041|route_ref=1
0632,632,Florida Av @ 109th Av,28.047393,-82.459491,ntd_id=4041|route_ref=1
0633,633,Florida Av  @ Bougainvillea Av,28.043663,-82.4595,ntd_id=4041|route_ref=1
0634,634,Florida Av @ Linebaugh Av,28.040013,-82.4596,ntd_id=4041|route_ref=1
0639,639,Florida Av @ Wood St,28.027073,-82.459668,ntd_id=4041|route_ref=1;16
0640,640,Florida Av @ Bird St,28.022509,-82.459576,ntd_id=4041|route_ref=1
0642,642,Florida Av @ Hollywood St,28.019675,-82.459575,ntd_id=4041|route_ref=1
0643,643,Florida Av @ Kirby St,28.017719,-82.459585,ntd_id=4041|route_ref=1
0644,644,Florida Av @ Broad St,28.016315,-82.459585,ntd_id=4041|route_ref=1
0645,645,Florida Av @ Flora St,28.012616,-82.459549,ntd_id=4041|route_ref=1
0646,646,Florida Av @ Hamilton Av,28.014407,-82.459552,ntd_id=4041|route_ref=1
0647,647,Florida Av @ Sligh Av,28.010972,-82.459593,ntd_id=4041|route_ref=1
0648,648,Florida Av @ Hiawatha St,28.009566,-82.459566,ntd_id=4041|route_ref=1
0649,649,Florida Av @ Knollwood St,28.008105,-82.459531,ntd_id=4041|route_ref=1
0650,650,Florida Av @ North St,28.00609,-82.4596,ntd_id=4041|route_ref=1
