route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10240,,112,L-HIALEAH-MIA BCH/LINC RD VIA 79 ST,,3,,008000,FFFFFF
10241,,113,M-CIVIC CENTER-MIAMI BEACH,,3,,808000,FFFFFF
10242,,115,MID-NORTH-BEACH CONNECTION CW,,3,,800000,FFFFFF
10243,,117,MID-NORTH-BEACH CONNECTION CCW,,3,,FF00FF,FFFFFF
10244,,119,S-AVENTURA-CBD VIA COLLINS & ALTON,,3,,800080,FFFFFF
10245,,120,BEACH MAX: CBD-AVENTURA MALL,,3,,008080,FFFFFF
10246,,123,SOUTH BEACH LOCAL,,3,,FF0000,FFFFFF
10247,,132,HIA.TRI-RAIL STA-DORAL VIA 36ST,,3,,000000,FFFFFF
10287,,133,MIA TRI-RAIL STA-AIRPORT TERM.,,3,,000000,FFFFFF
10249,,135,135_STREET CROSSTOWN,,3,,000000,FFFFFF
10250,,136,DOUGLAS RD-OLD CUTLER-136ST-KENDALL,,3,,000000,FFFFFF
10251,,137,WEST DADE CONNECTION,,3,,A0A0A4,FFFFFF
10252,,150,AIRPORT FLYER,,3,,FF00FF,FFFFFF
10253,,183,NW 87 AV/186 ST- AVENTURA,,3,,000000,FFFFFF
10254,,195,I-95 DADE-BROWARD EXPRESS,,3,,000000,FFFFFF
10255,,202,LITTLE HAITI CONNECTION,,3,,000000,FFFFFF
10256,,204,KILLIAN KAT,,3,,FF0000,FFFFFF
10257,,207,LITTLE HAVANA CONNECTION,,3,,000000,FFFFFF
10258,,208,LITTLE HAVANA CONNECTION,,3,,000000,FFFFFF
10259,,211,OVERTOWN CIRCULATOR,,3,,FF00FF,FFFFFF
10260,,212,SWEETWATER CIRCULATOR,,3,,000000,FFFFFF
10261,,238,EAST-WEST CONNECTION,,3,,000000,FFFFFF
10262,,243,SEAPORT CONNECTION,,3,,800000,FFFFFF
10263,,246,NIGHT OWL,,3,,008080,FFFFFF
10264,,248,BRICKELL KEY SHUTTLE,,3,,000000,FFFFFF
10265,,249,COCONUT GROVE CIRCULATOR,,3,,00FFFF,FFFFFF
10266,,252,CORAL REEF MAX,,3,,00FF00,FFFFFF
10267,,254,BROWNSVILLE CIRCULATOR,,3,,0000FF,FFFFFF
10268,,272,SUNSET KAT,,3,,0000FF,FFFFFF
10269,,277,7 AVE MAX: GOLD GLAD-GVCT,,3,,000000,FFFFFF
10270,,286,NORTH POINTE CIRCULATOR,,3,,FF00FF,FFFFFF
10271,,287,SAGA BAY MAX,,3,,FF00FF,FFFFFF
10272,,288,KENDALL CRUISER,,3,,00FFFF,FFFFFF
10273,,301,DADE/MONROE EXPRESS,,3,,000000,FFFFFF
10274,,302,CARD SOUND EXPRESS,,3,,008000,FFFFFF
10275,,344,MDC Homestead-Fla City,,3,,FF8000,FFFFFF
10276,,500,MIDNIGHT OWL,,3,,FF0000,FFFFFF
10277,,908,METROMOVER OMNI/BRICKELL OUTER LOOP,,3,,008000,FFFFFF
10278,,909,METROMOVER INNER LOOP,,3,,808000,FFFFFF
