stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
108,W FLAGLER ST@NW 42 AV,,25.771802,-80.263429,,
110,W FLAGLER ST@NW 107 AV,,25.768605,-80.369747,,
112,NORTHSIDE STA@3150 NW 79 ST,,25.845364,-80.24912,,
113,NW 27 AV@NW 79 ST,,25.845396,-80.241856,,
114,NW 12 AV@NW 70 ST,,25.839403,-80.216995,,
115,ALLAPATTAH STATION,ALLAPATTAH STATION & 3501 NW 12 AV,25.808148,-80.215359,,
116,NW 9 AV@NW 17 ST,,25.791927,-80.210322,,
117,NW 12 AV@NW 16 ST,,25.789797,-80.21518,,
118,SW 12 AV@SW 2 ST,,25.771715,-80.214706,,
119,VIZCAYA STA@3201 SW 1 AV,,25.749703,-80.212119,,
120,AT MERCY HOSPITAL@MERCY WY EXIT,,25.740515,-80.214417,,
123,SW 12 AV@SW 1 ST,,25.773111,-80.214513,,
124,NW 12 AV@NW 15 ST,,25.789894,-80.214859,,
125,NW 9 AV@NW 17 ST,,25.791841,-80.210134,,
127,NW 71 ST@NW 12 AV,,25.839469,-80.217376,,
128,NW 27 AV@NW 79 TE,,25.846563,-80.241597,,
130,NW 7 AV@NW 183 ST,,25.943235,-80.213312,,
131,NW 22 AV@NW 190 TE,,25.947916,-80.237647,,
132,NW 22 AV@NW 151 ST,,25.912256,-80.236251,,
134,NW 17 AV@NW 95 ST,,25.861507,-80.226036,,
135,NW 17 AV@NW 79 ST,,25.846861,-80.225477,,
136,EARLINGTON HGTS STA@2100 NW 41 ST,,25.812707,-80.229885,,
137,NW 17 AV@NW 36 ST,,25.80978,-80.223974,,
138,NW 18 AV@NW 29 ST,,25.803481,-80.225715,,
139,NW 17 AV@W FLAGLER ST,,25.773628,-80.223022,,
140,NW 17 AV@W FLAGLER ST,,25.773552,-80.222727,,
142,NW 17 AV@NW 36 ST,,25.809777,-80.223794,,
144,NW 17 AV@NW 79 ST,,25.846147,-80.225272,,
145,NW 17 AV@NW 95 ST,,25.860551,-80.225706,,
146,NW 7 AV@NW 106 ST,,25.871767,-80.209871,,
147,NW 22 AV@NW 151 ST,,25.912504,-80.23595,,
148,NW 22 AV@NW 191 ST,,25.948286,-80.23758,,
149,NW 7 AV@NW 183 ST,,25.943709,-80.213169,,
151,NW 27 AV@NW 160 ST,,25.920436,-80.244615,,
152,AT MDCC - NO@TERMINAL,,25.876722,-80.245667,,
154,NW 27 AV@NW 160 ST,,25.920707,-80.244293,,
155,NW 25 AV@NW 165 ST,,25.924941,-80.241563,,
156,GOLDEN GLADES@TERMINAL,RAMP,25.920819,-80.215112,,
157,NW 17 AV@NW 166 ST,,25.925718,-80.22848,,
158,NW 22 AV@OPA LOCKA BD,,25.898834,-80.235673,,
159,NW 22 AV@NW 79 ST,,25.84591,-80.233704,,
160,NW 22 AV@NW 36 ST,,25.809641,-80.232144,,
161,SW 17 AV@SW 10 ST,,25.763643,-80.22254,,
163,NW 22 AV@W FLAGLER ST,,25.772987,-80.231055,,
164,SW 22 AV@CORAL WAY,,25.750803,-80.230215,,
166,DOUGLAS RD STATION@3100 SW 37 AV,,25.732676,-80.254707,,
169,SW 22 AV@SW 22 ST,,25.750403,-80.229996,,
170,SW 22 AV@W FLAGLER ST,,25.772297,-80.23084,,
172,NW 22 AV@NW 36 ST,,25.809669,-80.231941,,
173,NW 22 AV@NW 78 ST,,25.845805,-80.233415,,
174,NW 22 AV@NW 135 ST,,25.897813,-80.235358,,
175,NW 17 AV@NW 166 ST,,25.925905,-80.228387,,
177,SW 26 ST@SW 137 AV,,25.743435,-80.415452,,
178,SW 122 AV@SW 26 ST,,25.744812,-80.392226,,
179,SW 24 ST@SW 74 AV,,25.747952,-80.315224,,
180,ANDALUSIA AV@LE JEUNE RD,,25.7484,-80.261981,,
181,SW 22 ST@SW 27 AV,,25.750217,-80.237849,,
182,Vizcaya Station,,25.749697,-80.211765,,
183,SW 13 ST@SW 2 AV,,25.76139,-80.196977,,
186,SW 13 ST@SW 2 AV,,25.761573,-80.197063,,
187,Vizcaya Station,,25.749697,-80.211765,,
188,SW 22 ST@SW 27 AV,,25.750457,-80.238001,,
189,SW 24 ST@SW 42 AV,,25.749547,-80.263756,,
190,SW 24 ST@SW 74 AV,,25.748255,-80.315248,,
192,SW 24 ST@SW 107 AV,,25.746823,-80.368325,,
193,SW 122 AV@SW 26 ST,,25.745155,-80.392035,,
194,SW 26 ST@SW 137 AV,,25.743655,-80.415057,,
197,NW 27 AV@NW 183 ST,STATE HWY 817 & NW 183RD ST,25.940407,-80.245489,,
198,NW 27 AV@NW 113 ST,,25.876508,-80.242981,,
199,M L KING JR STATION@6205 NW 27 AV,,25.832248,-80.240652,,
200,BROWNSVILLE STA@5200 NW 27 AV,,25.821998,-80.241292,,
201,NW 27 AV@NW 36 ST,,25.809768,-80.240425,,
202,SW 27 AV@W FLAGLER ST,,25.771795,-80.239205,,
203,COCONUT GROVE STA@2780 SW 27 AV,,25.739765,-80.239329,,
204,MCFARLANE RD@GRAND AV,,25.727355,-80.241534,,
207,NW 27 AV@W FLAGLER ST,,25.772888,-80.239001,,
208,NW 27 AV@NW 36 ST,,25.80956,-80.24008,,
211,NW 27 AV@NW 113 ST,,25.877279,-80.242858,,
212,NW 27 AV@NW 183 ST,,25.940638,-80.245143,,
215,FIU BISC BAY CAMPUS@INSIDE CAMPUS,FIU BISCAYNE BAY CAMPUS & INSIDE CAMPUS,25.9111,-80.14003,,
216,NE 135 ST@W DIXIE HY,,25.899887,-80.17797,,
218,NW 42 AV@NW 135 ST,,25.895766,-80.267765,,
219,E 4 AV@E 49 ST,,25.866596,-80.274719,,
220,HIALEAH STA@115 E 21 ST,,25.84128,-80.279052,,
222,E 4 AV@E 49 ST,,25.867641,-80.274547,,
223,NW 135 ST@NW 42 AV,,25.896454,-80.267134,,
224,NW 7 AV@NW 135 ST,,25.898758,-80.211157,,
225,NE 135 ST@W DIXIE HY,,25.899664,-80.179462,,
227,BUSWAY@SW 200 ST,,25.580496,-80.368244,,
228,BUSWAY@SW 184 ST,,25.597981,-80.35573,,
229,BUSWAY@SW 184 ST,,25.597941,-80.355939,,
230,BUSWAY@SW 200 ST,,25.579509,-80.369431,,
231,NW 47 AV@NW 199 ST,,25.95519,-80.278307,,
232,NW 47 AV@NW 168 TE,,25.926314,-80.27687,,
233,NW 171 ST@NW 32 AV,,25.929696,-80.253008,,
234,TRI RAIL STATION@#480 ALI BABA AV,,25.90005,-80.252941,,
235,NW 32 AV@NW 103 ST,,25.86745,-80.250869,,
236,NW 32 AV@NW 36 ST,,25.808416,-80.248435,,
237,NW 32 AV@NW 34 ST,,25.806378,-80.248391,,
238,NW 32 AV@NW 34 ST,,25.806758,-80.248209,,
239,NW 32 AV@NW 36 ST,,25.809218,-80.24827,,
240,NW 32 AV@NW 103 ST,,25.867596,-80.250677,,
242,NW 171 ST@NW 32 AV,,25.929781,-80.25324,,
243,NW 47 AV@NW 168 TE,,25.926332,-80.276648,,
244,NW 47 AV@NW 183 ST,,25.940252,-80.277403,,
247,NE 95 St & 2 Ave,,25.862466,-80.193408,,
248,NW 22 AV@NW 95 ST,,25.861357,-80.233964,,
249,NW 103 ST@NW 27 AV,,25.868277,-80.243237,,
251,E 49 ST@PALM AV,,25.867013,-80.282576,,
252,W 49 ST@W 8 AV,,25.866764,-80.299405,,
253,NW 87 AV@NW 103 ST,,25.867535,-80.339038,,
254,NW 105 WY@NW SOUTH RIVER DR,,25.868978,-80.34463,,
256,NW 103 ST@NW 87 AV,,25.868591,-80.338105,,
257,W 49 ST@W 8 AV,,25.866499,-80.29908,,
258,W 49 ST@PALM AV,,25.866792,-80.283417,,
260,NW 103 ST@NW 27 AV,,25.868025,-80.242951,,
262,NE 96 ST@NE 2 AV,,25.863465,-80.192712,,
264,MDCC-S@SW 109 CT ENTRANCE,,25.673698,-80.373049,,
265,LINCOLN BD@GRAHAM DR,,25.63122,-80.374946,,
266,US 1@SW 200 ST,,25.579345,-80.369057,,
267,SW 125 AV@COMM'TY PARTNERSHIP,,25.505892,-80.392747,,
268,SW 275 ST@SW 140 AV,,25.511252,-80.418917,,
270,WASHINGTON AV@NE 8 ST,,25.47618,-80.476404,,
271,W PALM DR@SW 4 AV,,25.447684,-80.481739,,
272,E PALM DR@SW 167 AV,,25.448096,-80.461036,,
275,W PALM DR@NW 4 AV,,25.447925,-80.481729,,
276,WASHINGTON AV@NE 8 ST,,25.47672,-80.476258,,
278,SW 275 ST@SW 140 AV,,25.511421,-80.419189,,
279,SW 125 AV@SW 281 ST,,25.506499,-80.39257,,
280,US 1@CARIBBEAN BD,,25.579133,-80.368802,,
281,LINCOLN BD@GRAHAM DR,,25.631433,-80.374951,,
284,NE 36 ST@BISCAYNE BD,,25.810698,-80.190242,,
286,NW 36 ST@NW 32 AV,,25.80894,-80.247975,,
287,NW 36 ST@NW 33 AV,,25.808857,-80.2502,,
288,NW 36 ST@NW 57 AV,,25.807762,-80.287995,,
289,NW 53 ST@NW 87 AV,,25.819907,-80.336932,,
290,NW 53 ST@NW 87 AV,,25.8197,-80.336367,,
291,NW 36 ST@NW 87 AV,,25.809713,-80.336673,,
292,NW 36 ST@NW 57 AV,,25.807363,-80.290664,,
293,NW 36 ST@NW 33 AV,,25.80868,-80.250602,,
294,NW 36 ST@NW 32 AV,,25.808762,-80.247802,,
296,NE 36 ST@BISCAYNE BD,,25.810546,-80.189901,,
298,W 3 CT@W 74 PL,,25.88936,-80.290763,,
299,PALM AV@W 49 ST,,25.867102,-80.283132,,
300,HIALEAH DR@E 4 AV,,25.822828,-80.273621,,
301,NW 42 AV@NW 36 ST,,25.808384,-80.264557,,
303,SW 37 AV@W FLAGLER ST,,25.771256,-80.255537,,
304,SW 37 AV@CORAL WAY,,25.749457,-80.254667,,
305,SW 37 AV@GRAND AV,,25.727393,-80.253683,,
306,SW 72 ST@COCOPLUM PLAZA,,25.705429,-80.261768,,
307,SOUTH MIAMI STA@5949 SW 72 ST,,25.705286,-80.28894,,
