from_stop_id,to_stop_id,transfer_type,min_transfer_time
11524,11524,2,120
11525,11525,2,120
11526,11526,2,120
11531,11531,2,120
11532,11532,2,120
11534,11534,2,120
11535,11535,2,120
11541,11541,2,120
11542,11542,2,120
11543,11543,2,120
11611,11611,2,120
11612,11612,2,120
11623,11623,2,120
11631,11631,2,120
11711,11711,2,120
11712,11712,2,120
11713,11713,2,120
11714,11714,2,120
11811,11811,2,120
11812,11812,2,120
11821,11821,2,120
11822,11822,2,120
11831,11831,2,120
11912,11912,2,120
11921,11921,2,120
11932,11932,2,120
12012,12012,2,60
12013,12013,2,60
12111,12111,2,120
12112,12112,2,120
12222,12222,2,120
12223,12223,2,120
12311,12311,2,120
12312,12312,2,120
12714,12714,2,120
12715,12715,2,120
12721,12721,2,120
12722,12722,2,120
12731,12731,2,60
12732,12732,2,60
12741,12741,2,120
12811,12811,2,120
12812,12812,2,120
12911,12911,2,120
12912,12912,2,120
12913,12913,2,120
12914,12914,2,120
13011,13011,2,120
13111,13111,2,120
13112,13112,2,120
13122,13122,2,120
13132,13132,2,120
13211,13211,2,120
13221,13221,2,120
13311,13311,2,120
13312,13312,2,120
13321,13321,2,120
13331,13331,2,120
13412,13412,2,120
13413,13413,2,120
13512,13512,2,120
13513,13513,2,120
14011,14011,2,120
14012,14012,2,120
14111,14111,2,120
14112,14112,2,120
14121,14121,2,120
14122,14122,2,120
14211,14211,2,120
14221,14221,2,120
14311,14311,2,120
14321,14321,2,120
14322,14322,2,120
14331,14331,2,120
14332,14332,2,120
14411,14411,2,120
14412,14412,2,120
14511,14511,2,120
14512,14512,2,120
14611,14611,2,120
14621,14621,2,120
14631,14631,2,120
14632,14632,2,120
14711,14711,2,120
14812,14812,2,120
14911,14911,2,120
14912,14912,2,120
14921,14921,2,120
14922,14922,2,120
15011,15011,2,120
15012,15012,2,120
15111,15111,2,120
15112,15112,2,120
15211,15211,2,120
15212,15212,2,120
15311,15311,2,120
15312,15312,2,120
15411,15411,2,120
15421,15421,2,120
15811,15811,2,120
15821,15821,2,120
15822,15822,2,120
15831,15831,2,120
15911,15911,2,120
15912,15912,2,120
16011,16011,2,120
16012,16012,2,120
16022,16022,2,120
16031,16031,2,0
16033,16033,2,0
16111,16111,2,120
16211,16211,2,120
16311,16311,2,120
16312,16312,2,120
16321,16321,2,120
16322,16322,2,120
16421,16421,2,120
16431,16431,2,20
16431,16432,2,20
16511,16511,2,60
16512,16511,2,180
16512,16512,2,120
16511,16512,2,120
16611,16611,2,120
16612,16612,2,120
16711,16711,2,120
16721,16721,2,120
16811,16811,2,120
16812,16812,2,120
20111,20111,2,60
20121,20121,2,0
20221,20212,2,180
20221,20221,2,120
20222,20222,2,120
20411,20411,2,120
20421,20421,2,120
20441,20441,2,120
20511,20511,2,120
20514,20514,2,120
20611,20611,2,120
21011,21011,2,120
21012,21012,2,120
21013,21013,2,120
21014,21014,2,120
21111,21111,2,120
21112,21112,2,120
21113,21113,2,120
21114,21114,2,120
21211,21211,2,120
21212,21212,2,120
21213,21213,2,120
21214,21214,2,120
21221,21221,2,120
21222,21222,2,120
21311,21311,2,120
21312,21312,2,120
21313,21313,2,120
21314,21314,2,120
21411,21411,2,120
21412,21412,2,120
21521,21511,2,120
21511,21511,2,120
21521,21521,2,120
21522,21522,2,120
21523,21523,2,120
21611,21611,2,120
21631,21621,2,120
21621,21621,2,120
21631,21622,2,120
21622,21622,2,120
21631,21623,2,120
21631,21631,2,120
21632,21632,2,120
21711,21711,2,120
21911,21911,2,120
22012,22012,2,120
22013,22013,2,120
22111,22111,2,120
22112,22112,2,120
22211,22211,2,120
22212,22212,2,120
22311,22311,2,120
23111,22311,2,660
23112,22312,2,720
22312,22312,2,120
23111,22411,2,900
22411,22411,2,120
23112,22412,2,900
22412,22412,2,120
22511,22511,2,120
22512,22512,2,120
22513,22513,2,120
22514,22514,2,120
22515,22515,2,120
22711,22711,2,120
22721,22721,2,120
22722,22722,2,120
22723,22723,2,120
22812,22812,2,120
22813,22813,2,120
23011,23011,2,120
23012,23012,2,120
23111,23111,2,120
22212,23112,2,660
22312,23112,2,720
22312,23121,2,720
22412,23121,2,900
22212,23121,2,660
22412,23122,2,900
22312,23122,2,720
22212,23122,2,660
22412,23123,2,900
22212,23123,2,660
22312,23123,2,720
23311,23311,2,120
23312,23312,2,120
23411,23411,2,120
23412,23412,2,120
23511,23511,2,120
23521,23521,2,120
23621,23621,2,120
23631,23631,2,120
23711,23711,2,120
23721,23721,2,120
23811,23811,2,120
23812,23812,2,60
23911,23911,2,120
23912,23912,2,120
23921,23921,2,120
24011,24011,2,120
24111,24111,2,120
24112,24112,2,120
24211,24211,2,120
24212,24212,2,120
24311,24311,2,120
24312,24312,2,120
24412,24412,2,120
25711,25711,2,120
25712,25712,2,120
25811,25811,2,120
25812,25812,2,120
25911,25911,2,120
25912,25912,2,120
26011,26011,2,120
26012,26012,2,120
26111,26111,2,120
26112,26112,2,120
26212,26212,2,120
30142,30111,2,240
30141,30141,2,120
30142,30142,2,120
30111,30142,2,240
30211,30211,2,120
30212,30212,2,120
30322,30311,2,120
30311,30311,2,120
30312,30312,2,120
30322,30312,2,180
30311,30321,2,180
30321,30321,2,120
30312,30321,2,200
30312,30322,2,200
30311,30322,2,180
30322,30322,2,120
30412,30412,2,120
30413,30413,2,120
30512,30512,2,120
30513,30513,2,120
30622,30622,2,120
30642,30642,2,120
30712,30712,2,120
30713,30713,2,120
30811,30811,2,120
30812,30812,2,120
30813,30813,2,120
30814,30814,2,120
30911,30911,2,120
30912,30912,2,120
30921,30921,2,120
30922,30922,2,120
31011,31011,2,120
31111,31111,2,60
31112,31112,2,60
31113,31113,2,120
31121,31121,2,120
31131,31131,2,120
31211,31211,2,120
31213,31213,2,120
31214,31214,2,120
31215,31215,2,120
31216,31216,2,120
31312,31312,2,120
31321,31321,2,120
31322,31322,2,120
31331,31331,2,120
31413,31413,2,120
31414,31414,2,120
31513,31513,2,120
31514,31514,2,120
31613,31613,2,120
31614,31614,2,120
31722,31711,1,
31711,31711,2,120
31721,31711,1,
31721,31712,1,
31712,31712,2,120
31722,31712,1,
31711,31721,1,
31712,31721,1,
31711,31722,1,
31712,31722,1,
31811,31811,2,120
31812,31812,2,120
31911,31911,2,120
31912,31912,2,120
32011,32011,2,120
32012,32012,2,120
32111,32111,2,120
32112,32112,2,120
32211,32211,2,120
32212,32212,2,120
32311,32311,2,120
32312,32312,2,120
32411,32411,2,120
32412,32412,2,120
32511,32511,2,120
32512,32512,2,120
32611,32611,2,120
32621,32621,2,120
32622,32622,2,120
32632,32632,2,120
32711,32711,2,120
32712,32712,2,120
32811,32811,2,120
32812,32812,2,120
32911,32911,2,120
32912,32912,2,120
33011,33011,2,120
33012,33012,2,120
33111,33111,2,120
33112,33112,2,120
33211,33211,2,120
33311,33311,2,120
33321,33321,2,120
33411,33411,2,120
33412,33412,2,120
33511,33511,2,120
33512,33512,2,120
33621,33621,2,120
34022,34022,2,120
34111,34111,2,120
34121,34121,2,120
34211,34211,2,120
34311,34311,2,120
34411,34411,2,120
34511,34511,2,120
34621,34621,2,120
34711,34711,2,120
34811,34811,2,120
34812,34812,2,120
35011,35011,2,120
35012,35012,2,120
35111,35111,2,120
35112,35112,2,120
35211,35211,2,120
35212,35212,2,120
35431,35431,2,120
35441,35441,2,120
35511,35511,2,120
35512,35512,2,120
35611,35611,2,120
35612,35612,2,120
35811,35811,2,120
35812,35812,2,120
35911,35911,2,120
35912,35912,2,120
36021,36021,2,120
36031,36031,2,120
36111,36111,2,120
36112,36112,2,120
36211,36211,2,120
36212,36212,2,120
36311,36311,2,120
36312,36312,2,120
36411,36411,2,120
36412,36412,2,120
40111,40111,2,120
40112,40112,2,120
40311,40211,2,180
40211,40211,2,120
40212,40212,2,120
40311,40311,2,120
40212,40311,2,180
40411,40411,2,120
40421,40421,2,120
40511,40511,2,120
40512,40512,2,120
40611,40611,2,120
40612,40612,2,120
40721,40711,2,120
40711,40711,2,120
40712,40712,2,60
40712,40721,2,120
40721,40712,2,120
40711,40721,2,120
40811,40811,2,120
40812,40812,2,120
40911,40911,2,120
40912,40912,2,120
41011,41011,2,120
41012,41012,2,120
41111,41111,2,120
41112,41112,2,120
41211,41211,2,120
41212,41212,2,120
41311,41311,2,120
41312,41312,2,120
41411,41411,2,120
41412,41412,2,120
41511,41511,2,120
41512,41512,2,120
41611,41611,2,120
41612,41612,2,120
41711,41711,2,120
41712,41712,2,120
41811,41811,2,120
41812,41812,2,120
42411,42411,2,120
42412,42412,2,120
42511,42511,2,120
42512,42512,2,120
42611,42611,2,120
42621,42621,2,120
43311,43311,2,120
43312,43312,2,120
43411,43411,2,120
43412,43412,2,120
43511,43511,2,120
43512,43512,2,120
43611,43611,2,120
43612,43612,2,120
43711,43711,2,120
43721,43721,2,120
43811,43811,2,120
43812,43812,2,120
44211,44211,2,120
44212,44212,2,120
44311,44311,2,120
44312,44312,2,120
44411,44411,2,120
44412,44412,2,120
44421,44421,2,120
44422,44422,2,120
44511,44511,2,120
44521,44521,2,120
44711,44711,2,120
44712,44712,2,120
44911,44911,2,0
45211,45211,2,120
45212,45212,2,120
45311,45311,2,120
45312,45312,2,120
45411,45411,2,120
45412,45412,2,120
45511,45511,2,120
45512,45512,2,120
45611,45611,2,120
45612,45612,2,120
45711,45711,2,120
45712,45712,2,120
45821,45821,2,120
45822,45822,2,120
45911,45911,2,120
45912,45912,2,120
46011,46011,2,120
46021,46021,2,120
46111,46111,2,120
46211,46211,2,120
46212,46212,2,120
46311,46311,2,120
46312,46312,2,120
46411,46411,2,120
46412,46412,2,120
46511,46511,2,120
46512,46512,2,120
46612,46612,2,120
46613,46613,2,120
46711,46711,2,120
46712,46712,2,120
46811,46811,2,120
46812,46812,2,120
46911,46911,2,120
46912,46912,2,120
47011,47011,2,120
47012,47012,2,120
47111,47111,2,120
47211,47211,2,120
47212,47212,2,120
50111,50111,2,120
50112,50112,2,120
50211,50211,2,120
50212,50212,2,120
51111,51111,2,120
51121,51121,2,120
51311,51311,2,120
51411,51411,2,120
51421,51421,2,120
51422,51422,2,120
51511,51511,2,120
51512,51512,2,120
51611,51611,2,120
51911,51911,2,120
51912,51912,2,120
52012,52012,2,120
52411,52411,2,120
52412,52412,2,120
52511,52511,2,120
52521,52521,2,120
52611,52611,2,120
52612,52612,2,120
52711,52711,2,120
52721,52721,2,120
52731,52731,2,120
52811,52811,2,120
52911,52911,2,120
52912,52912,2,120
53011,53011,2,120
53111,53111,2,120
53112,53112,2,120
53211,53211,2,120
53212,53212,2,120
53311,53311,2,120
53312,53312,2,120
53411,53411,2,120
53412,53412,2,120
53511,53511,2,120
53521,53521,2,120
53611,53611,2,120
53612,53612,2,120
53711,53711,2,120
53712,53712,2,120
53811,53811,2,120
53812,53812,2,120
53911,53911,2,120
53912,53912,2,120
54021,54021,2,120
54022,54022,2,120
54023,54023,2,120
54031,54031,2,120
54111,54111,2,120
54112,54112,2,120
54211,54211,2,120
54212,54212,2,120
54311,54311,2,120
54312,54312,2,120
54411,54411,2,120
54412,54412,2,120
54511,54511,2,120
54512,54512,2,120
54611,54611,2,120
54612,54612,2,120
54711,54711,2,120
54712,54712,2,120
54811,54811,2,120
54812,54812,2,120
55011,55011,2,120
55012,55012,2,120
55111,55111,2,120
55211,55211,2,120
55212,55212,2,120
55311,55311,2,120
55312,55312,2,120
55411,55411,2,120
55412,55412,2,120
55511,55511,2,120
55512,55512,2,120
55611,55611,2,120
55612,55612,2,120
55711,55711,2,120
55712,55712,2,120
55811,55811,2,120
55812,55812,2,120
55911,55911,2,120
60111,60111,2,120
60112,60112,2,120
60113,60113,2,120
60114,60114,2,120
60211,60211,2,120
60212,60212,2,120
60213,60213,2,120
60214,60214,2,120
60311,60311,2,120
60312,60312,2,120
60313,60313,2,120
60314,60314,2,120
60411,60411,2,120
60412,60412,2,120
60413,60413,2,120
60414,60414,2,120
60511,60511,2,120
60541,60520,2,120
60541,60521,2,120
60541,60522,2,120
60541,60523,2,120
60541,60524,2,120
60524,60524,2,120
60541,60525,2,120
60541,60526,2,120
60526,60526,2,120
60527,60527,2,120
60541,60527,2,120
60541,60531,2,120
60526,60542,2,120
60520,60542,2,120
60521,60542,2,120
60522,60542,2,120
60523,60542,2,120
60524,60542,2,120
60525,60542,2,120
60551,60551,2,120
60611,60611,2,120
60612,60612,2,120
70211,70211,2,120
70212,70212,2,120
70311,70311,2,120
70312,70312,2,120
70411,70411,2,120
70412,70412,2,120
70511,70511,2,120
70512,70512,2,120
70611,70611,2,120
70612,70612,2,120
70711,70711,2,120
70712,70712,2,120
70721,70721,2,120
70731,70731,2,120
70811,70811,2,120
70812,70812,2,120
70911,70911,2,120
70912,70912,2,120
71011,71011,2,120
71012,71012,2,120
71111,71111,2,120
71112,71112,2,120
71211,71211,2,120
71212,71212,2,120
71311,71311,2,120
71312,71312,2,120
71411,71411,2,120
71421,71421,2,120
71431,71431,2,120
71811,71811,2,120
71812,71812,2,120
71911,71911,2,120
71912,71912,2,120
72011,72011,2,120
72012,72012,2,120
72111,72111,2,120
72112,72112,2,120
72411,72411,2,120
73221,73221,2,120
73311,73311,2,120
73312,73312,2,120
73411,73411,2,120
73412,73412,2,120
73511,73511,2,120
73512,73512,2,120
73611,73611,2,120
73612,73612,2,120
73621,73621,2,120
73712,73712,2,120
73911,73911,2,120
73912,73912,2,120
74011,74011,2,120
74012,74012,2,120
74111,74111,2,120
74112,74112,2,120
74211,74211,2,120
74212,74212,2,120
74311,74311,2,120
74312,74312,2,120
74611,74611,2,120
74612,74612,2,120
80111,80111,2,120
80211,80211,2,120
80221,80221,2,120
80231,80231,2,120
80241,80241,2,120
80311,80311,2,120
80321,80321,2,120
80331,80331,2,120
80411,80411,2,120
80412,80412,2,120
80413,80413,2,120
80511,80511,2,120
80512,80512,2,120
80611,80611,2,120
80612,80612,2,120
80711,80711,2,120
80713,80713,2,120
80811,80811,2,120
80812,80812,2,120
80911,80911,2,120
81011,81011,2,120
81012,81012,2,120
81111,81111,2,120
81112,81112,2,120
81211,81211,2,120
81212,81212,2,120
81311,81311,2,120
81411,81411,2,120
81412,81412,2,120
81511,81511,2,120
81512,81512,2,120
81612,81612,2,120
82011,82011,2,120
82012,82012,2,120
82111,82111,2,120
82112,82112,2,120
82211,82211,2,120
82212,82212,2,120
82311,82311,2,120
82312,82312,2,120
82411,82411,2,120
82421,82421,2,120
82511,82511,2,120
82514,82512,2,60
82512,82512,2,120
82511,82514,2,60
82611,82611,2,120
82612,82612,2,120
82711,82711,2,120
82712,82712,2,120
82811,82811,2,120
82812,82812,2,120
82911,82911,2,120
82912,82912,2,120
83111,83111,2,120
83112,83112,2,120
83211,83211,2,120
83212,83212,2,120
83311,83311,2,120
84111,84111,2,120
84112,84112,2,120
84221,84221,2,120
84611,84611,2,120
84612,84612,2,120
84613,84613,2,120
84711,84711,2,120
84712,84712,2,120
84811,84811,2,120
84812,84812,2,120
85011,85011,2,120
85012,85012,2,120
85014,85014,2,120
85021,85021,2,120
85022,85022,2,120
85111,85111,2,120
85112,85112,2,120
85211,85211,2,120
85212,85212,2,120
85311,85311,2,120
85312,85312,2,120
85411,85411,2,120
85412,85412,2,120
85511,85511,2,120
85512,85512,2,120
85611,85611,2,120
85721,85721,2,120
85722,85722,2,120
85811,85811,2,120
85812,85812,2,120
85911,85911,2,120
85912,85912,2,120
86011,86011,2,120
86012,86012,2,120
86111,86111,2,120
86121,86121,2,120
86122,86122,2,120
