operator_name,operator_abbreviation,ntd_id,gtfs_url,stop_digits
Targhee Regional Public Transit Authority ,TRPTA,42,,
Terre Haute Transit Utility ,THTU,5053,,
Terrebonne Parish Consolidated Government ,Good Earth Transit,6080,,
"Texoma Area Paratransit System, Inc ",TAPS,6107,,
The City of Cheyenne Transit Program ,CTP,8020,,
The Eastern Contra Costa Transit Authority ,Tri Delta Transit,9162,,
The Greater Cleveland Regional Transit Authority ,GCRTA,5015,,
The Greater New Haven Transit District ,GNHTD,1049,,
The Gulf Coast Center ,Connect Transit,6082,,
The Lawton Area Transit System ,LATS,6094,,
The Tri--County Council for the Lower Eastern Shore of Maryland ,Shore Transit,3096,,
The Tri-State Transit Authority ,TTA,3002,,
The Wave Transit System ,WTS,4043,,
Thousand Oaks Transit ,TOT,9165,,
Tioga County ,Tioga County Transit,2158,,
Toledo Area Regional Transit Authority ,TARTA,5022,,
Tompkins Consolidated Area Transit ,TCAT,2145,,
Topeka Metropolitan Transit Authority ,Topeka Transit - TMTA,7014,,
Torrance Transit System ,TTS,9010,,
Town of Cary ,CTRAN,4143,,
Town of Highlands Dial-A-Bus ,,2182,,
Town of Monroe Dial-A-Bus ,Monroe DAB,2183,,
"Trans-Bridge Lines, Inc. ",,2169,,
Transfort ,,8011,,
Trans-Hudson Express ,,2168,,
Transit Authority of Northern Kentucky ,TANK,4019,http://imi.nku.edu/tankgoogletransit/latest/google_transit.zip,
Transit Authority of Omaha ,MAT,7002,,
Transit Authority of River City ,TARC,4018,,
Transit Services of Frederick County ,,3072,,
Transport of Rockland ,TOR,2084,,
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit ",HRT,3083,,
Transportation Resources Intra-County for Physically Handicapped and Senior Citizens ,TRIPS,2086,,
"Tri-County Community Council, Inc. ",TCCC,4148,,
Tri-County Metropolitan Transportation District of Oregon ,TriMet,8,http://developer.trimet.org/schedule/gtfs.zip,
Tuscaloosa County Parking and Transit Authority ,TMT,4045,,
Twin Cities Area Transportation Authority ,TCATA,5132,,
Ulster County Area Transit ,UCAT,2178,,
Unitrans - City of Davis/ASUCD ,Unitrans,9142,,
"University of Arkansas, Fayetteville ",Razorback Transit,6062,,
University of Iowa ,Cambus,7019,,
University of Michigan Parking and Transportation Services ,UMTS,5158,,
Utah Transit Authority ,UTA,8001,,
Valley Regional Transit ,VRT,11,,
Valley Transit District ,VTD,1042,,
Ventura Intercity Service Transit Authority ,VISTA,9164,,
VIA Metropolitan Transit ,VIA,6011,,
Victor Valley Transit Authority ,VVTA,9148,,
Village of Kiryas Joel ,KJ,2187,,
Village of Spring Valley Bus ,Spring Valley Jitney,2089,,
Virginia Railway Express ,VRE,3073,,
"VPSI, Anchorage ",,49,,
Waccamaw Regional Transportation Authority ,The Coast RTA,4102,,
"Waco Transit System, Inc. ",WTS,6012,,
Washington County Transit ,County Commuter,3042,,
Washington County Transit ,,5160,,
Washington Metropolitan Area Transit Authority ,WMATA,3030,,
Washington State Ferries ,WSF,35,,
Wausau Area Transit System ,WATS,5091,,
Westchester County Bee-Line System ,The Bee-Line System,2076,,
Western Contra Costa Transit Authority ,WestCAT,9159,,
"Western Maine Transportation Services, Inc. ",WMTS,1098,,
Western Piedmont Regional Transit Authority ,WPRTA,4172,,
Western Reserve Transit Authority ,WRTA,5024,,
Westmoreland County Transit Authority ,WCTA,3044,,
Whatcom Transportation Authority ,WTA,21,,
Wichita Transit ,WT,7015,,
Williamsburg Area Transit Authority ,WATA,3076,,
Williamsport Bureau of Transportation ,RVT,3026,,
Winston-Salem Transit Authority - Trans-Aid of Forsyth County ,WSTA,4012,,
Wiregrass Transit Authority ,,4103,,
Worcester Regional Transit Authority ,WRTA,1014,,
Yakima Transit ,YT,6,,
Yolo County Transportation District ,YCTD,9090,,
York County Transportation Authority ,rabbittransit,3027,,
Yuba-Sutter Transit Authority ,YSTA,9061,,
Yuma Metropolitan Planning Organization ,YMPO,9192,,
