operator_name,operator_abbreviation,ntd_id,gtfs_url,stop_digits
City of Harrisonburg Department of Public Transportation ,Harrisonburg Transit,3094,,
"City of Huntsville, Alabama - Public Transportation Division ",,4071,http://maps.hsvcity.com/GoogleTransit/google_transit.zip,
City of Jackson Transit System ,JATRAN,4015,,
City of Jackson Transportation Authority ,JTA,5034,,
City of Jefferson ,JEFFTRAN,7043,,
City of Kokomo ,COK,5145,,
City of La Mirada Transit ,LMT,9024,,
City of Lawrence - Lawrence Transit System ,,7033,,
City of Lodi - Transit Division ,Grapeline,9175,,
City of Lompoc - Lompoc Transit ,COLT,9149,,
City of Long Beach ,Long Beach Bus,2006,,
City of Los Angeles Department of Transportation ,LADOT,9147,,
City of Loveland Transit ,COLT,8025,,
City of Mesquite ,MTED,6070,,
City of Middletown - Middletown Transit System ,MTS,5019,,
City of Monroe Transit System ,MTS,6026,,
City of Montgomery-Montgomery Area Transit System ,MATS,4044,,
"City of Moorhead, DBA: Metropolitan Area Transit ",MAT,5026,,
City of Newark Transit Operations ,Earthworks,5138,,
"City of Ocala, Florida ",SunTran,4120,,
City of Petaluma ,Petaluma Transit,9213,,
City of Phoenix Public Transit Department dba Valley Metro ,Valley Metro,9032,,
City of Pocatello - Pocatello Regional Transit ,PRT,22,,
City of Porterville ,C.O.L.T.,9198,,
City of Poughkeepsie ,,2009,,
City of Redondo Beach - Beach Cities Transit ,BCT,9214,,
City of Riverside Special Transportation ,City of Riverside,9086,,
City of Rochester Public Transportation ,,5092,,
City of Rome Transit Department ,RTD,4058,,
City of San Luis Obispo ,SLO Transit,9156,,
City of Santa Rosa ,Santa Rosa CityBus,9017,,
City of Scottsdale - Scottsdale Trolley ,COS,9131,,
City of Seattle - Seattle Center Monorail Transit ,SMS,23,,
City of Tallahassee ,StarMetro ,4036,,
City of Tempe Transit Division - dba Valley Metro ,TIM - Tempe in Motion,9172,,
City of Tucson ,COT,9033,,
City of Turlock ,BLAST and DART,9201,,
City of Union City Transit Division ,UCT,9161,,
City of Vallejo Transportation Program ,"Vallejo Transit, Baylink",9028,,
City of Visalia - Visalia City Coach ,Visalia Transit,9091,,
City of Washington ,WCT,3101,,
City of Waukesha Transit Commission ,Waukesha Metro Transit,5096,,
"City Transit Management Company, Inc. ",Citibus,6010,,
City Utilities of Springfield ,The Bus,7003,,
Clark County Public Transportation Benefit Area Authority ,C-Tran,24,,
Clarkstown Mini-Trans ,,2085,,
Clarksville Transit System ,CTS,4092,,
Clayton County Board of Commissioners ,CTRAN,4157,,
Clermont Transportation Connection ,CTC,5166,,
Cleveland Area Rapid Transit ,CART,6096,,
Clinton Area Transit System ,Clinton Transit,5168,,
"CNY Centro, Inc. ",CNY Centro ,2018,,
Coast Transit Authority ,CTA,4014,,
Cobb County Department of Transportation Authority ,CCT,4078,,
Collier Area Transit ,CAT,4140,,
Columbia Transit ,CT,7016,,
"Community Transit, Inc. ",Community Transit,2160,,
Community Urban Bus Service ,CUBS,16,,
Concho Valley Transit District ,CVTD,6102,,
Connecticut Department of Transportation ,CDOT,1102,,
Connecticut Transit - Hartford Division ,CTTransit,1048,,
Connecticut Transit - New Haven Division ,CTTRANSIT,1055,,
Connecticut Transit - Stamford Division ,CTTransit,1056,,
Cooperative Alliance for Seacoast Transportation ,COAST,1086,,
Coralville Transit System ,CTS,7030,,
Corpus Christi Regional Transportation Authority ,The B,6051,,
"Council on Aging of Martin County, Inc. ",COAMC \ CC - MCBOCC,4113,,
"Council on Aging of St. Lucie, Inc. ",CT,4097,,
"County Commissioners of Charles County, MD ",DCS VanGO,3088,,
County of Lackawanna Transit System ,COLTS,3025,,
County of Lebanon Transit Authority ,COLT,3095,,
County of Sacramento Municipal Services Agency Department of Transportation ,SacDOT,9216,,
"County of Volusia, dba: VOTRAN ",Votran,4032,,
Crescent City Connection Division - Louisiana Department of Transportation ,CCCD,6020,,
Culver City Municipal Bus Lines ,Culver CityBus,9039,,
"Dallas - VPSI, Inc. ",,6084,,
Dallas Area Rapid Transit ,DART,6056,,
Davenport Public Transit ,CITIBUS,7009,,
Davidson County Transportation ,DCTS,4131,,
DeCamp Bus Lines ,,2161,,
Decatur Public Transit System ,DPTS,5061,,
Delaware Transit Corporation ,DTC,3075,http://www.dartfirststate.com/information/routes/gtfs_data/dartfirststate_de_us.zip,
Denton County Transportation Authority ,DCTA,6101,,
Denver Regional Transportation District ,RTD,8006,,
Department of Transportation and Public Works ,DTPW,4105,,
Des Moines Area Regional Transit Authority ,DART,7010,,
Detroit Transportation Corporation ,Detroit People Mover,5141,,
Douglas County Rideshare ,Rideshare,4082,,
Duluth Transit Authority ,DTA,5025,http://www.duluthtransit.com/GoogleTransit/latest/google_transit.zip,
Durham Area Transit Authority ,DATA,4087,,
Dutchess County Division of Mass Transportation ,Loop Bus,2010,,
East Chicago Transit ,ECT,5042,,
Eau Claire Transit ,ECT,5099,,
Erie Metropolitan Transit Authority ,the e,3013,,
Escambia County Area Transit ,ECAT,4038,,
Everett Transit ,ET,5,,
Fairbanks North Star Borough Transit ,MACS,45,,
Fairfax Connector Bus System ,Fairfax Connector,3068,,
Fayette Area Coordinated Transportation ,FACT,3087,,
Fayetteville Area System of Transit ,FAST,4009,,
Fond du Lac Area Transit ,Fond du Lac Area Transit,5171,,
Foothill Transit ,,9146,,
Fort Bend County Public Transportation ,Fort Bend Transit,6103,,
Fort Smith Transit ,FST,6086,,
Fort Wayne Public Transportation Corporation ,Citilink,5044,,
Fort Worth Transportation Authority ,The T,6007,,
Fredericksburg Regional Transit ,FRED,3079,,
Fresno Area Express ,FAX,9027,,
Gadsden Transportation Services - City of Gadsden ,GTS,4049,,
Gainesville Regional Transit System ,RTS,4030,,
Gary Public Transportation Corporation ,GPTC,5045,,
Georgia Regional Transportation Authority ,GRTA,4135,,
Gold Coast Transit ,GCT,9035,,
Golden Crescent Regional Planning Commission ,VICTORIA TRANSIT,6095,,
Golden Empire Transit District ,GET,9004,,
"Golden Gate Bridge, Highway and Transportation District ",GGBHTD,9016,,
Goldsboro-Wayne Transportation Authority ,GATEWAY,4132,,
Great Falls Transit District ,GFTD,8012,,
Greater Attleboro-Taunton Regional Transit Authority ,GATRA,1064,,
Greater Bridgeport Transit Authority ,GBTA,1050,,
Greater Dayton Regional Transit Authority ,GDRTA,5017,,
Greater Glens Falls Transit System ,GGFT,2120,,
Greater Hartford Ridesharing Corporation - The Rideshare Company ,GHRC,1108,,
Greater Hartford Transit District ,GHTD,1017,,
Greater Lafayette Public Transportation Corporation ,CityBus,5051,,
Greater Lynchburg Transit Company ,GLTC,3008,,
Greater Peoria Mass Transit District ,CityLink,5056,,
Greater Portland Transit District ,Metro,1016,,
Greater Richmond Transit Company ,GRTC Transit System,3006,,
Greater Roanoke Transit Company ,Valley Metro,3007,,
